parameter,cumulative_return,annual_return,max_drawdown,drawdown_begin,drawdown_end,return/drawdown,sharpe_ratio,base_return
"[6, 5, 2]",10.99,61.52%,-57.89%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.06,0.9284606207789997,74.58970481782359
"[11, 9, 2]",21.58,84.85%,-81.57%,2017-12-16 00:00:00,2018-12-15 00:00:00,1.04,1.0884455365441879,74.58970481782359
"[12, 5, 2]",13.6,68.55%,-65.86%,2017-09-01 00:00:00,2018-02-05 00:00:00,1.04,0.979173559924556,74.58970481782359
"[8, 2, 2]",8.7,54.12%,-53.13%,2021-04-14 00:00:00,2021-07-21 00:00:00,1.02,0.863548018467138,74.58970481782359
"[11, 7, 2]",18.51,79.25%,-78.58%,2017-12-16 00:00:00,2019-10-25 00:00:00,1.01,1.065769252568687,74.58970481782359
"[6, 3, 2]",16.58,75.36%,-74.76%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.01,1.0089536599804447,74.58970481782359
"[14, 12, 2]",13.25,67.66%,-69.25%,2017-12-16 00:00:00,2018-02-05 00:00:00,0.98,0.9909015840265105,74.58970481782359
"[12, 6, 2]",13.03,67.1%,-68.59%,2017-09-01 00:00:00,2020-03-13 00:00:00,0.98,0.9612230596426511,74.58970481782359
"[14, 13, 2]",12.83,66.6%,-69.25%,2017-12-16 00:00:00,2018-02-05 00:00:00,0.96,0.9929206145943468,74.58970481782359
"[11, 10, 2]",16.54,75.28%,-81.57%,2017-12-16 00:00:00,2018-12-15 00:00:00,0.92,1.0310732655439185,74.58970481782359
"[14, 6, 2]",12.43,65.54%,-80.22%,2017-12-16 00:00:00,2018-12-15 00:00:00,0.82,0.9163513180138975,74.58970481782359
"[10, 2, 2]",13.06,67.18%,-83.37%,2017-12-16 00:00:00,2018-12-15 00:00:00,0.81,0.9217692154120165,74.58970481782359
"[9, 7, 2]",7.38,49.14%,-65.10%,2017-11-04 00:00:00,2018-02-05 00:00:00,0.75,0.8381667252968976,74.58970481782359
"[7, 6, 2]",4.91,37.48%,-65.04%,2017-06-11 00:00:00,2018-02-05 00:00:00,0.58,0.7175555583792688,74.58970481782359
"[13, 5, 2]",5.03,38.13%,-66.98%,2017-09-01 00:00:00,2019-02-08 00:00:00,0.57,0.7357709651923134,74.58970481782359
"[14, 2, 2]",6.28,44.42%,-83.37%,2017-12-16 00:00:00,2018-12-15 00:00:00,0.53,0.7453980935079215,74.58970481782359
"[6, 2, 2]",4.16,32.99%,-71.87%,2016-09-11 00:00:00,2018-12-15 00:00:00,0.46,0.6585747215056704,74.58970481782359
"[8, 6, 2]",4.02,32.09%,-80.19%,2018-01-06 00:00:00,2020-03-13 00:00:00,0.4,0.6378272537817682,74.58970481782359
"[8, 7, 2]",3.7,29.94%,-81.62%,2018-01-06 00:00:00,2020-03-13 00:00:00,0.37,0.6160336951060313,74.58970481782359
"[3, 2, 2]",2.47,19.78%,-62.65%,2019-06-27 00:00:00,2020-03-13 00:00:00,0.32,0.5141963884248606,74.58970481782359
"[9, 2, 2]",1.98,14.67%,-82.18%,2017-12-16 00:00:00,2021-07-21 00:00:00,0.18,0.43333235051029756,74.58970481782359
"[5, 2, 2]",1.47,7.94%,-56.74%,2019-01-07 00:00:00,2020-03-13 00:00:00,0.14,0.334499013440658,74.58970481782359
"[12, 2, 2]",0.94,-1.13%,-14.64%,2021-06-04 00:00:00,2021-06-09 00:00:00,-0.08,-0.06118502988374078,74.58970481782359
"[11, 2, 2]",0.93,-1.53%,-7.42%,2016-09-11 00:00:00,2021-09-10 00:00:00,-0.21,-0.5419116228380276,74.58970481782359
