parameter,cumulative_return,annual_return,max_drawdown,drawdown_begin,drawdown_end,return/drawdown,sharpe_ratio,base_return
"[20, 120]",49.09,117.87%,-66.45%,2017-12-16 00:00:00,2019-03-14 00:00:00,1.77,1.241006914038809,74.58970481782359
"[40, 170]",53.07,121.29%,-68.69%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.77,1.24484774371368,74.58970481782359
"[80, 140]",51.79,120.22%,-68.16%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.76,1.2353737633673083,74.58970481782359
"[80, 120]",51.16,119.68%,-67.87%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.76,1.2318265246060802,74.58970481782359
"[30, 50]",52.14,120.52%,-68.57%,2017-12-16 00:00:00,2018-08-11 00:00:00,1.76,1.30972458544313,74.58970481782359
"[70, 180]",45.98,115.03%,-65.24%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.76,1.2016662958011806,74.58970481782359
"[60, 160]",52.52,120.84%,-68.77%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.76,1.241981825159812,74.58970481782359
"[130, 180]",46.51,115.53%,-66.13%,2017-12-16 00:00:00,2018-04-06 00:00:00,1.75,1.2242458832964254,74.58970481782359
"[40, 70]",43.66,112.82%,-64.87%,2017-12-16 00:00:00,2018-08-11 00:00:00,1.74,1.2276640871058888,74.58970481782359
"[80, 150]",52.78,121.05%,-69.37%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.74,1.238902559951101,74.58970481782359
"[100, 150]",51.47,119.95%,-69.39%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.73,1.2239892726160677,74.58970481782359
"[20, 130]",49.2,117.97%,-68.01%,2019-06-27 00:00:00,2020-05-12 00:00:00,1.73,1.2363968890148875,74.58970481782359
"[60, 170]",51.71,120.15%,-69.40%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.73,1.2355127003604356,74.58970481782359
"[70, 140]",50.25,118.89%,-68.68%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.73,1.230969480721217,74.58970481782359
"[120, 150]",53.44,121.6%,-71.03%,2017-12-16 00:00:00,2019-04-26 00:00:00,1.71,1.2513580667597126,74.58970481782359
"[70, 160]",48.31,117.17%,-68.61%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.71,1.2194110745359261,74.58970481782359
"[50, 160]",48.64,117.47%,-68.80%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.71,1.2260083819473937,74.58970481782359
"[20, 190]",45.07,114.18%,-67.31%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.7,1.2084740307373578,74.58970481782359
"[120, 160]",54.8,122.72%,-72.04%,2017-12-16 00:00:00,2019-04-26 00:00:00,1.7,1.2577201285382744,74.58970481782359
"[20, 160]",44.16,113.31%,-66.66%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.7,1.209258723422884,74.58970481782359
"[50, 170]",47.62,116.55%,-69.55%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.68,1.2175466772537042,74.58970481782359
"[50, 150]",50.81,119.38%,-71.09%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.68,1.2365548361012686,74.58970481782359
"[70, 170]",47.19,116.16%,-69.27%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.68,1.2135027622915173,74.58970481782359
"[80, 160]",46.95,115.93%,-68.99%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.68,1.2096338848280777,74.58970481782359
"[40, 180]",46.48,115.51%,-69.08%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.67,1.2092435812008282,74.58970481782359
"[20, 170]",42.54,111.72%,-67.19%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.66,1.1958576129011045,74.58970481782359
"[30, 190]",44.79,113.91%,-68.47%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.66,1.206234930013377,74.58970481782359
"[10, 140]",45.75,114.82%,-69.61%,2017-12-16 00:00:00,2019-03-12 00:00:00,1.65,1.228142205363361,74.58970481782359
"[30, 170]",43.52,112.68%,-68.32%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.65,1.2002199189059972,74.58970481782359
