parameter,cumulative_return,annual_return,max_drawdown,drawdown_begin,drawdown_end,return/drawdown,sharpe_ratio,base_return
"[30, 100]",45.9,114.97%,-68.41%,2017-12-16 00:00:00,2020-05-12 00:00:00,1.68,1.2321820560419325,74.58970481782359
"[50, 150]",45.42,114.51%,-68.33%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.68,1.2078413745289283,74.58970481782359
"[40, 130]",45.89,114.95%,-68.34%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.68,1.2123612307237883,74.58970481782359
"[50, 120]",45.33,114.43%,-68.32%,2019-06-27 00:00:00,2020-05-12 00:00:00,1.67,1.2086975222550482,74.58970481782359
"[30, 150]",43.72,112.88%,-67.88%,2019-06-27 00:00:00,2020-05-12 00:00:00,1.66,1.2028541722919366,74.58970481782359
"[30, 90]",44.02,113.17%,-68.68%,2017-12-16 00:00:00,2020-05-12 00:00:00,1.65,1.2216507239513312,74.58970481782359
"[70, 80]",43.48,112.64%,-68.49%,2019-06-27 00:00:00,2020-05-12 00:00:00,1.64,1.2008952034689195,74.58970481782359
"[60, 130]",41.52,110.7%,-67.59%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.64,1.1871379089217076,74.58970481782359
"[50, 160]",44.9,114.01%,-69.91%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.63,1.2014137981536561,74.58970481782359
"[30, 140]",41.52,110.69%,-67.85%,2019-06-27 00:00:00,2020-05-12 00:00:00,1.63,1.192716650489902,74.58970481782359
"[10, 130]",52.91,121.16%,-74.44%,2017-12-16 00:00:00,2019-03-12 00:00:00,1.63,1.283500208608473,74.58970481782359
"[30, 120]",43.13,112.3%,-69.02%,2017-12-16 00:00:00,2020-05-12 00:00:00,1.63,1.2083405632792705,74.58970481782359
"[50, 100]",43.93,113.08%,-69.94%,2019-06-27 00:00:00,2020-05-12 00:00:00,1.62,1.2030049151757871,74.58970481782359
"[80, 100]",41.09,110.26%,-68.64%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.61,1.184875819054557,74.58970481782359
"[60, 90]",41.09,110.26%,-69.43%,2019-06-27 00:00:00,2020-05-12 00:00:00,1.59,1.1871966283252748,74.58970481782359
"[10, 160]",51.48,119.95%,-75.53%,2017-12-16 00:00:00,2019-03-12 00:00:00,1.59,1.2662391633647168,74.58970481782359
"[50, 110]",43.7,112.86%,-71.00%,2019-06-27 00:00:00,2020-05-12 00:00:00,1.59,1.2010855724523903,74.58970481782359
"[60, 140]",38.25,107.27%,-68.90%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.56,1.1642304498943383,74.58970481782359
"[10, 170]",48.71,117.53%,-75.85%,2017-12-16 00:00:00,2019-03-12 00:00:00,1.55,1.2522035237184328,74.58970481782359
"[10, 190]",46.48,115.51%,-74.99%,2017-12-16 00:00:00,2018-05-13 00:00:00,1.54,1.2377820538441129,74.58970481782359
"[70, 120]",39.66,108.77%,-70.53%,2019-06-27 00:00:00,2020-05-25 00:00:00,1.54,1.1748708523905318,74.58970481782359
"[20, 180]",40.47,109.61%,-71.00%,2017-12-16 00:00:00,2020-05-12 00:00:00,1.54,1.18020786654074,74.58970481782359
"[90, 100]",39.76,108.87%,-71.02%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.53,1.1732433644753482,74.58970481782359
"[30, 190]",38.84,107.9%,-70.76%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.52,1.1665186448406555,74.58970481782359
"[80, 110]",37.01,105.9%,-70.31%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.51,1.157396933562503,74.58970481782359
"[30, 130]",39.39,108.49%,-72.10%,2017-12-16 00:00:00,2020-05-12 00:00:00,1.5,1.1824222019314679,74.58970481782359
"[10, 180]",46.31,115.35%,-77.45%,2017-12-16 00:00:00,2019-03-12 00:00:00,1.49,1.2376942443080867,74.58970481782359
"[40, 110]",37.65,106.61%,-73.10%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.46,1.170567230597804,74.58970481782359
"[40, 170]",36.32,105.14%,-72.37%,2019-06-27 00:00:00,2020-05-12 00:00:00,1.45,1.1521635788136544,74.58970481782359
"[90, 110]",35.1,103.73%,-72.11%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.44,1.1355096458138625,74.58970481782359
"[40, 180]",36.27,105.07%,-73.29%,2019-06-27 00:00:00,2020-05-12 00:00:00,1.43,1.1493165593577395,74.58970481782359
"[20, 190]",35.71,104.43%,-73.64%,2017-12-16 00:00:00,2020-05-12 00:00:00,1.42,1.1496063605955062,74.58970481782359
"[70, 130]",35.32,103.99%,-74.35%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.4,1.1434377891092413,74.58970481782359
"[20, 150]",36.06,104.84%,-74.82%,2017-12-16 00:00:00,2020-05-12 00:00:00,1.4,1.1580866654124442,74.58970481782359
"[50, 180]",34.96,103.57%,-74.72%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.39,1.1320085307815433,74.58970481782359
"[20, 130]",35.14,103.78%,-74.68%,2017-12-16 00:00:00,2020-05-12 00:00:00,1.39,1.1632172856777632,74.58970481782359
"[70, 140]",33.55,101.9%,-73.24%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.39,1.1243371995616152,74.58970481782359
"[100, 110]",32.23,100.29%,-72.52%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.38,1.1140954434755597,74.58970481782359
"[80, 140]",31.86,99.82%,-72.96%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.37,1.1104403271363523,74.58970481782359
"[60, 170]",32.23,100.29%,-73.69%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.36,1.1123423065729152,74.58970481782359
"[60, 160]",31.86,99.83%,-73.83%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.35,1.111803385064146,74.58970481782359
"[60, 180]",32.98,101.22%,-74.85%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.35,1.1166200755770255,74.58970481782359
"[20, 140]",32.51,100.64%,-74.70%,2017-12-16 00:00:00,2020-05-12 00:00:00,1.35,1.135472418185172,74.58970481782359
"[90, 120]",30.01,97.45%,-73.46%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.33,1.096939534192958,74.58970481782359
"[110, 130]",31.0,98.74%,-74.37%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.33,1.0984781290278864,74.58970481782359
"[20, 120]",33.01,101.25%,-76.05%,2017-12-16 00:00:00,2020-05-12 00:00:00,1.33,1.148015744707464,74.58970481782359
"[170, 190]",38.8,107.86%,-81.26%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.33,1.1353496124758955,74.58970481782359
